CustomerId,review,stars
CUST0205,Well built and performs better than expected.,5
CUST0206,Poor performance and unreliable.,1
CUST0207,Mediocre quality but serves the purpose.,3
CUST0208,"Some features are useful, others are not.",3
CUST0209,Arrived broken and customer support was unhelpful.,2
CUST0210,Fairly priced and average in performance.,2
CUST0211,Well built and performs better than expected.,5
CUST0212,"Some features are useful, others are not.",2
CUST0213,Impressive features and reliable functionality.,4
CUST0214,"Some features are useful, others are not.",3
CUST0215,"The product is okay, does what it's supposed to.",3
CUST0216,Five stars for quality and efficiency.,4
CUST0217,"Not worth the money, poorly made.",2
CUST0218,Fairly priced and average in performance.,2
CUST0219,The design and usability are outstanding.,5
CUST0220,Top-notch product. Excellent customer service as well.,4
CUST0221,Well built and performs better than expected.,5
CUST0222,Product did not match the description.,1
CUST0223,"Not bad, but not great either.",3
CUST0224,Mediocre quality but serves the purpose.,3
CUST0225,"Neither good nor bad, just acceptable.",3
CUST0226,Great value for the price. Highly recommend it.,4
CUST0227,Arrived broken and customer support was unhelpful.,2
CUST0228,"Not worth the money, poorly made.",2
CUST0229,Impressive features and reliable functionality.,5
CUST0230,Impressive features and reliable functionality.,4
CUST0231,Impressive features and reliable functionality.,5
CUST0232,Extremely dissatisfied. Waste of money.,2
CUST0233,"Average experience, nothing special.",2
CUST0234,The design and usability are outstanding.,4
CUST0235,Highly durable and easy to use.,5
CUST0236,"Average experience, nothing special.",2
CUST0237,Had a bad experience. Would not buy again.,2
CUST0238,Absolutely love it. Will definitely purchase again.,5
CUST0239,Great value for the price. Highly recommend it.,4
CUST0240,Very satisfied with the quality and performance.,5
CUST0241,The design and usability are outstanding.,4
CUST0242,Top-notch product. Excellent customer service as well.,4
CUST0243,Product did not match the description.,1
CUST0244,Extremely dissatisfied. Waste of money.,1
CUST0245,Arrived broken and customer support was unhelpful.,2
CUST0246,Great value for the price. Highly recommend it.,4
CUST0247,Product is decent but could use improvements.,2
CUST0248,"Terrible product, stopped working after a week.",2
CUST0249,Very disappointed with the quality and support.,2
CUST0250,The design and usability are outstanding.,5
CUST0251,"Neither good nor bad, just acceptable.",3
CUST0252,This product exceeded my expectations and works flawlessly.,4
CUST0253,"Some features are useful, others are not.",3
CUST0254,Product is decent but could use improvements.,2
CUST0255,The design and usability are outstanding.,5
CUST0256,Highly durable and easy to use.,4
CUST0257,"Neither good nor bad, just acceptable.",2
CUST0258,It's functional but has its flaws.,2
CUST0259,Great value for the price. Highly recommend it.,5
CUST0260,"Neither good nor bad, just acceptable.",2
CUST0261,Product did not match the description.,2
CUST0262,"It works fine, but I was expecting more.",2
CUST0263,Poor performance and unreliable.,1
CUST0264,"It works fine, but I was expecting more.",3
CUST0265,Highly durable and easy to use.,4
CUST0266,Mediocre quality but serves the purpose.,2
CUST0267,It's functional but has its flaws.,2
CUST0268,Great value for the price. Highly recommend it.,4
CUST0269,Mediocre quality but serves the purpose.,3
CUST0270,Great value for the price. Highly recommend it.,5
CUST0271,"The product is okay, does what it's supposed to.",2
CUST0272,The design and usability are outstanding.,5
CUST0273,Product is decent but could use improvements.,3
CUST0274,The design and usability are outstanding.,4
CUST0275,Five stars for quality and efficiency.,5
CUST0276,"Not worth the money, poorly made.",2
CUST0277,Highly durable and easy to use.,5
CUST0278,"Not bad, but not great either.",3
CUST0279,Well built and performs better than expected.,4
CUST0280,"Neither good nor bad, just acceptable.",3
CUST0281,Absolutely love it. Will definitely purchase again.,4
CUST0282,Had a bad experience. Would not buy again.,2
CUST0283,"Average experience, nothing special.",3
CUST0284,Product did not match the description.,2
CUST0285,"Not worth the money, poorly made.",2
CUST0286,Poor performance and unreliable.,2
CUST0287,Very satisfied with the quality and performance.,4
CUST0288,The design and usability are outstanding.,4
CUST0289,Five stars for quality and efficiency.,5
CUST0290,"The product is okay, does what it's supposed to.",2
CUST0291,"Average experience, nothing special.",2
CUST0292,"Neither good nor bad, just acceptable.",3
CUST0293,Very disappointed with the quality and support.,2
CUST0294,This product exceeded my expectations and works flawlessly.,5
CUST0295,Five stars for quality and efficiency.,4
CUST0296,The design and usability are outstanding.,4
CUST0297,Product did not match the description.,1
CUST0298,"Terrible product, stopped working after a week.",2
CUST0299,Product is decent but could use improvements.,2
CUST0300,"Neither good nor bad, just acceptable.",2
CUST0301,"Neither good nor bad, just acceptable.",2
CUST0302,This product exceeded my expectations and works flawlessly.,4
CUST0303,Extremely dissatisfied. Waste of money.,1
CUST0304,Extremely dissatisfied. Waste of money.,2
CUST0305,Absolutely love it. Will definitely purchase again.,4
CUST0306,"The product is okay, does what it's supposed to.",3
CUST0307,This product exceeded my expectations and works flawlessly.,4
CUST0308,Absolutely love it. Will definitely purchase again.,5
CUST0309,The design and usability are outstanding.,5
CUST0310,Would not recommend this to anyone.,1
CUST0311,Impressive features and reliable functionality.,5
CUST0312,Top-notch product. Excellent customer service as well.,4
CUST0313,"Average experience, nothing special.",2
CUST0314,Top-notch product. Excellent customer service as well.,5
CUST0315,Well built and performs better than expected.,5
CUST0316,Had a bad experience. Would not buy again.,1
CUST0317,Five stars for quality and efficiency.,4
CUST0318,Top-notch product. Excellent customer service as well.,5
CUST0319,Highly durable and easy to use.,4
CUST0320,Highly durable and easy to use.,4
CUST0321,"Some features are useful, others are not.",3
CUST0322,Had a bad experience. Would not buy again.,1
CUST0323,Highly durable and easy to use.,5
CUST0324,Top-notch product. Excellent customer service as well.,4
CUST0325,Would not recommend this to anyone.,1
CUST0326,Very satisfied with the quality and performance.,5
CUST0327,Top-notch product. Excellent customer service as well.,4
CUST0328,"Average experience, nothing special.",2
CUST0329,"Some features are useful, others are not.",3
CUST0330,"Terrible product, stopped working after a week.",1
CUST0331,Very satisfied with the quality and performance.,4
CUST0332,Quality is subpar and lacks durability.,2
CUST0333,Would not recommend this to anyone.,1
CUST0334,This product exceeded my expectations and works flawlessly.,4
CUST0335,Product is decent but could use improvements.,2
CUST0336,"Neither good nor bad, just acceptable.",2
CUST0337,Quality is subpar and lacks durability.,1
CUST0338,Quality is subpar and lacks durability.,1
CUST0339,Very satisfied with the quality and performance.,5
CUST0340,Arrived broken and customer support was unhelpful.,2
CUST0341,Well built and performs better than expected.,5
CUST0342,The design and usability are outstanding.,4
CUST0343,"Neither good nor bad, just acceptable.",3
CUST0344,Top-notch product. Excellent customer service as well.,5
CUST0345,Great value for the price. Highly recommend it.,4
CUST0346,"Terrible product, stopped working after a week.",2
CUST0347,"It works fine, but I was expecting more.",3
CUST0348,Top-notch product. Excellent customer service as well.,4
CUST0349,Poor performance and unreliable.,1
CUST0350,It's functional but has its flaws.,3
CUST0351,"Average experience, nothing special.",3
CUST0352,"Average experience, nothing special.",2
CUST0353,"It works fine, but I was expecting more.",3
CUST0354,Well built and performs better than expected.,4
CUST0355,Very satisfied with the quality and performance.,5
CUST0356,Absolutely love it. Will definitely purchase again.,4
CUST0357,"Average experience, nothing special.",3
CUST0358,Top-notch product. Excellent customer service as well.,5
CUST0359,Five stars for quality and efficiency.,4
CUST0360,Mediocre quality but serves the purpose.,3
CUST0361,Highly durable and easy to use.,5
CUST0362,Very disappointed with the quality and support.,2
CUST0363,Arrived broken and customer support was unhelpful.,1
CUST0364,Extremely dissatisfied. Waste of money.,2
CUST0365,Fairly priced and average in performance.,3
CUST0366,Arrived broken and customer support was unhelpful.,1
CUST0367,"Average experience, nothing special.",3
CUST0368,Highly durable and easy to use.,5
CUST0369,Extremely dissatisfied. Waste of money.,1
CUST0370,"Some features are useful, others are not.",2
CUST0371,Arrived broken and customer support was unhelpful.,2
CUST0372,Very satisfied with the quality and performance.,5
CUST0373,Had a bad experience. Would not buy again.,1
CUST0374,Very satisfied with the quality and performance.,4
CUST0375,Very satisfied with the quality and performance.,4
CUST0376,Product did not match the description.,2
CUST0377,"The product is okay, does what it's supposed to.",2
CUST0378,Product is decent but could use improvements.,3
CUST0379,"The product is okay, does what it's supposed to.",2
CUST0380,Quality is subpar and lacks durability.,1
CUST0381,It's functional but has its flaws.,2
CUST0382,Very satisfied with the quality and performance.,4
CUST0383,"Average experience, nothing special.",3
CUST0384,Top-notch product. Excellent customer service as well.,5
CUST0385,"Some features are useful, others are not.",2
CUST0386,"Average experience, nothing special.",2
CUST0387,"The product is okay, does what it's supposed to.",3
CUST0388,This product exceeded my expectations and works flawlessly.,5
CUST0389,Absolutely love it. Will definitely purchase again.,4
CUST0390,It's functional but has its flaws.,3
CUST0391,Absolutely love it. Will definitely purchase again.,4
CUST0392,Would not recommend this to anyone.,1
CUST0393,Mediocre quality but serves the purpose.,2
CUST0394,Top-notch product. Excellent customer service as well.,5
CUST0395,"Some features are useful, others are not.",2
CUST0396,Quality is subpar and lacks durability.,1
CUST0397,Would not recommend this to anyone.,1
CUST0398,Five stars for quality and efficiency.,4
CUST0399,This product exceeded my expectations and works flawlessly.,5
CUST0400,Well built and performs better than expected.,5
CUST0401,Very disappointed with the quality and support.,1
CUST0402,Highly durable and easy to use.,4
CUST0403,"Not worth the money, poorly made.",2
CUST0404,"It works fine, but I was expecting more.",2
CUST0405,Very disappointed with the quality and support.,1
CUST0406,Impressive features and reliable functionality.,4
CUST0407,"Neither good nor bad, just acceptable.",2
CUST0408,Absolutely love it. Will definitely purchase again.,4
CUST0409,Product is decent but could use improvements.,3
CUST0410,Impressive features and reliable functionality.,5
CUST0411,"Not worth the money, poorly made.",1
CUST0412,"Not bad, but not great either.",2
CUST0413,Extremely dissatisfied. Waste of money.,2
CUST0414,Had a bad experience. Would not buy again.,2
CUST0415,Top-notch product. Excellent customer service as well.,5
CUST0416,Product is decent but could use improvements.,2
CUST0417,This product exceeded my expectations and works flawlessly.,4
CUST0418,Absolutely love it. Will definitely purchase again.,5
CUST0419,Had a bad experience. Would not buy again.,2
CUST0420,"The product is okay, does what it's supposed to.",2
CUST0421,Product is decent but could use improvements.,2
CUST0422,Extremely dissatisfied. Waste of money.,2
CUST0423,Product is decent but could use improvements.,3
CUST0424,Mediocre quality but serves the purpose.,2
CUST0425,Would not recommend this to anyone.,1
CUST0426,"Neither good nor bad, just acceptable.",2
CUST0427,The design and usability are outstanding.,5
CUST0428,"Terrible product, stopped working after a week.",2
CUST0429,Absolutely love it. Will definitely purchase again.,5
CUST0430,Poor performance and unreliable.,2
CUST0431,"Terrible product, stopped working after a week.",2
CUST0432,Had a bad experience. Would not buy again.,2
CUST0433,This product exceeded my expectations and works flawlessly.,4
CUST0434,Five stars for quality and efficiency.,5
CUST0435,Highly durable and easy to use.,4
CUST0436,Well built and performs better than expected.,4
CUST0437,Absolutely love it. Will definitely purchase again.,5
CUST0438,"Terrible product, stopped working after a week.",2
CUST0439,Great value for the price. Highly recommend it.,4
CUST0440,Would not recommend this to anyone.,2
CUST0441,This product exceeded my expectations and works flawlessly.,4
CUST0442,"Some features are useful, others are not.",2
CUST0443,Arrived broken and customer support was unhelpful.,1
CUST0444,The design and usability are outstanding.,4
CUST0445,Product did not match the description.,2
CUST0446,Arrived broken and customer support was unhelpful.,1
CUST0447,Product did not match the description.,2
CUST0448,The design and usability are outstanding.,4
CUST0449,This product exceeded my expectations and works flawlessly.,5
CUST0450,Great value for the price. Highly recommend it.,4
CUST0451,"Some features are useful, others are not.",3
CUST0452,Poor performance and unreliable.,2
CUST0453,Product is decent but could use improvements.,2
CUST0454,Five stars for quality and efficiency.,4
CUST0455,"Not bad, but not great either.",2
CUST0456,"Terrible product, stopped working after a week.",2
CUST0457,Great value for the price. Highly recommend it.,4
CUST0458,Well built and performs better than expected.,4
CUST0459,Quality is subpar and lacks durability.,1
CUST0460,Poor performance and unreliable.,2
CUST0461,Impressive features and reliable functionality.,4
CUST0462,Highly durable and easy to use.,4
CUST0463,Extremely dissatisfied. Waste of money.,1
CUST0464,Highly durable and easy to use.,4
CUST0465,Quality is subpar and lacks durability.,1
CUST0466,Arrived broken and customer support was unhelpful.,2
CUST0467,"Not worth the money, poorly made.",1
CUST0468,Had a bad experience. Would not buy again.,1
CUST0469,"Average experience, nothing special.",2
CUST0470,"It works fine, but I was expecting more.",2
CUST0471,Quality is subpar and lacks durability.,1
CUST0472,Very satisfied with the quality and performance.,4
CUST0473,Great value for the price. Highly recommend it.,4
CUST0474,"The product is okay, does what it's supposed to.",2
CUST0475,It's functional but has its flaws.,3
CUST0476,"Neither good nor bad, just acceptable.",2
CUST0477,Five stars for quality and efficiency.,4
CUST0478,Very disappointed with the quality and support.,1
CUST0479,The design and usability are outstanding.,5
CUST0480,"Average experience, nothing special.",3
CUST0481,Fairly priced and average in performance.,2
CUST0482,Five stars for quality and efficiency.,5
CUST0483,"Average experience, nothing special.",2
CUST0484,Had a bad experience. Would not buy again.,2
CUST0485,Poor performance and unreliable.,1
CUST0486,"Neither good nor bad, just acceptable.",3
CUST0487,Mediocre quality but serves the purpose.,2
CUST0488,The design and usability are outstanding.,4
CUST0489,Product is decent but could use improvements.,2
CUST0490,This product exceeded my expectations and works flawlessly.,4
CUST0491,Highly durable and easy to use.,5
CUST0492,Top-notch product. Excellent customer service as well.,5
CUST0493,Had a bad experience. Would not buy again.,1
CUST0494,This product exceeded my expectations and works flawlessly.,5
CUST0495,Very disappointed with the quality and support.,2
CUST0496,Absolutely love it. Will definitely purchase again.,4
CUST0497,"Average experience, nothing special.",3
CUST0498,Arrived broken and customer support was unhelpful.,1
CUST0499,Very satisfied with the quality and performance.,5
CUST0500,Impressive features and reliable functionality.,5
CUST0501,This product exceeded my expectations and works flawlessly.,4
CUST0502,Quality is subpar and lacks durability.,2
CUST0503,"Average experience, nothing special.",2
CUST0504,Top-notch product. Excellent customer service as well.,4
CUST0505,Extremely dissatisfied. Waste of money.,1
CUST0506,Impressive features and reliable functionality.,5
CUST0507,Very disappointed with the quality and support.,2
CUST0508,Well built and performs better than expected.,4
CUST0509,"The product is okay, does what it's supposed to.",2
CUST0510,Product did not match the description.,2
CUST0511,"Not bad, but not great either.",2
CUST0512,Impressive features and reliable functionality.,5
CUST0513,"Not worth the money, poorly made.",1
CUST0514,Quality is subpar and lacks durability.,1
CUST0515,Top-notch product. Excellent customer service as well.,5
CUST0516,"Some features are useful, others are not.",3
CUST0517,Five stars for quality and efficiency.,5
CUST0518,Arrived broken and customer support was unhelpful.,1
CUST0519,Highly durable and easy to use.,5
CUST0520,Great value for the price. Highly recommend it.,5
CUST0521,Had a bad experience. Would not buy again.,2
CUST0522,"Terrible product, stopped working after a week.",1
CUST0523,Well built and performs better than expected.,5
CUST0524,"Some features are useful, others are not.",3
CUST0525,This product exceeded my expectations and works flawlessly.,4
CUST0526,"Neither good nor bad, just acceptable.",2
CUST0527,Quality is subpar and lacks durability.,1
CUST0528,Had a bad experience. Would not buy again.,2
CUST0529,Well built and performs better than expected.,5
CUST0530,Absolutely love it. Will definitely purchase again.,4
CUST0531,This product exceeded my expectations and works flawlessly.,4
CUST0532,Impressive features and reliable functionality.,4
CUST0533,Product did not match the description.,2
CUST0534,"Average experience, nothing special.",2
CUST0535,This product exceeded my expectations and works flawlessly.,4
CUST0536,Poor performance and unreliable.,2
CUST0537,Very disappointed with the quality and support.,2
CUST0538,Well built and performs better than expected.,5
CUST0539,"It works fine, but I was expecting more.",2
CUST0540,Very disappointed with the quality and support.,1
CUST0541,Would not recommend this to anyone.,2
CUST0542,The design and usability are outstanding.,5
CUST0543,"Some features are useful, others are not.",2
CUST0544,Well built and performs better than expected.,5
CUST0545,Top-notch product. Excellent customer service as well.,4
CUST0546,Very disappointed with the quality and support.,1
CUST0547,Well built and performs better than expected.,4
CUST0548,Poor performance and unreliable.,1
CUST0549,"Not bad, but not great either.",3
CUST0550,Extremely dissatisfied. Waste of money.,1
CUST0551,Poor performance and unreliable.,2
CUST0552,Mediocre quality but serves the purpose.,3
CUST0553,Impressive features and reliable functionality.,4
CUST0554,"Average experience, nothing special.",2
CUST0555,Arrived broken and customer support was unhelpful.,2
CUST0556,Would not recommend this to anyone.,2
CUST0557,This product exceeded my expectations and works flawlessly.,4
CUST0558,Arrived broken and customer support was unhelpful.,1
CUST0559,Would not recommend this to anyone.,1
CUST0560,Very disappointed with the quality and support.,1
CUST0561,Absolutely love it. Will definitely purchase again.,5
CUST0562,"Terrible product, stopped working after a week.",2
CUST0563,Great value for the price. Highly recommend it.,4
CUST0564,Poor performance and unreliable.,2
CUST0565,"Neither good nor bad, just acceptable.",3
CUST0566,Top-notch product. Excellent customer service as well.,4
CUST0567,"Terrible product, stopped working after a week.",2
CUST0568,Very disappointed with the quality and support.,1
CUST0569,"Not worth the money, poorly made.",2
CUST0570,Very satisfied with the quality and performance.,5
CUST0571,"Not bad, but not great either.",2
CUST0572,"Terrible product, stopped working after a week.",2
CUST0573,Would not recommend this to anyone.,2
CUST0574,Poor performance and unreliable.,1
CUST0575,Highly durable and easy to use.,5
CUST0576,Five stars for quality and efficiency.,5
CUST0577,"The product is okay, does what it's supposed to.",2
CUST0578,"It works fine, but I was expecting more.",3
CUST0579,"Not bad, but not great either.",3
CUST0580,Very satisfied with the quality and performance.,5
CUST0581,Very satisfied with the quality and performance.,4
CUST0582,Quality is subpar and lacks durability.,2
CUST0583,Top-notch product. Excellent customer service as well.,5
CUST0584,Extremely dissatisfied. Waste of money.,1
CUST0585,Poor performance and unreliable.,1
CUST0586,Product is decent but could use improvements.,2
CUST0587,Product is decent but could use improvements.,3
CUST0588,"Neither good nor bad, just acceptable.",3
CUST0589,Quality is subpar and lacks durability.,1
CUST0590,Mediocre quality but serves the purpose.,2
CUST0591,Had a bad experience. Would not buy again.,1
CUST0592,Had a bad experience. Would not buy again.,2
CUST0593,"Not bad, but not great either.",2
CUST0594,Mediocre quality but serves the purpose.,2
CUST0595,"Not worth the money, poorly made.",2
CUST0596,Great value for the price. Highly recommend it.,5
CUST0597,Highly durable and easy to use.,5
CUST0598,Arrived broken and customer support was unhelpful.,1
CUST0599,The design and usability are outstanding.,4
CUST0600,Very satisfied with the quality and performance.,5
CUST0601,Extremely dissatisfied. Waste of money.,1
CUST0602,"Neither good nor bad, just acceptable.",3
CUST0603,Five stars for quality and efficiency.,5
CUST0604,The design and usability are outstanding.,5
CUST0605,Arrived broken and customer support was unhelpful.,2
CUST0606,Quality is subpar and lacks durability.,1
CUST0607,Very disappointed with the quality and support.,1
CUST0608,"Neither good nor bad, just acceptable.",2
CUST0609,Impressive features and reliable functionality.,5
CUST0610,Highly durable and easy to use.,4
CUST0611,Very satisfied with the quality and performance.,4
CUST0612,Five stars for quality and efficiency.,4
CUST0613,Had a bad experience. Would not buy again.,2
CUST0614,Product is decent but could use improvements.,3
CUST0615,"Not bad, but not great either.",3
CUST0616,Very disappointed with the quality and support.,2
CUST0617,Absolutely love it. Will definitely purchase again.,4
